DT,KNN,SVM_L,SVM_RBF,RFC,ABC,QDAC,LogReg,Deep Net,Target
0,0,0,0,0,0,0,0,1.26E-05,0.00E+00
0,0,0,0,0,0,0,0,1.70E-03,0.00E+00
1,1,1,0,1,1,1,1,9.06E-02,0.00E+00
1,0,0,0,1,0,1,0,7.83E-01,1.00E+00
1,1,1,0,0,1,0,1,2.77E-04,0.00E+00
1,1,1,0,1,1,0,1,3.74E-01,1.00E+00
0,0,0,0,0,0,0,0,4.45E-01,1.00E+00
1,1,1,0,1,1,1,1,8.37E-01,1.00E+00
1,1,1,0,0,1,1,1,5.76E-01,0.00E+00
1,1,1,0,1,1,1,1,9.62E-01,1.00E+00
1,1,1,0,0,1,1,1,6.93E-01,1.00E+00
0,0,0,0,0,0,0,0,9.21E-01,0.00E+00
1,1,1,0,0,1,1,1,3.53E-01,0.00E+00
1,1,1,0,1,0,1,1,9.71E-01,1.00E+00
1,1,1,0,1,1,1,1,9.12E-01,1.00E+00
1,1,1,0,1,1,1,1,6.08E-01,1.00E+00
1,1,1,0,1,1,1,1,9.66E-01,1.00E+00
0,0,0,0,0,0,0,0,1.30E-05,0.00E+00
0,0,0,0,0,0,0,0,1.76E-05,0.00E+00
1,0,1,0,1,1,1,1,3.17E-02,0.00E+00
0,0,0,0,0,0,0,0,3.71E-05,0.00E+00
1,1,0,0,0,0,0,1,8.41E-01,1.00E+00
0,0,0,0,0,0,0,0,3.71E-02,0.00E+00
0,0,0,0,0,0,0,0,8.28E-01,1.00E+00
0,0,0,0,0,0,1,0,2.06E-01,1.00E+00
0,1,0,0,1,1,0,0,3.12E-05,0.00E+00
1,1,1,0,0,1,0,1,9.00E-01,1.00E+00
0,0,0,0,0,0,0,0,6.88E-01,1.00E+00
0,0,0,0,0,0,0,0,6.66E-01,1.00E+00
0,0,0,0,0,0,0,0,4.17E-01,1.00E+00
0,0,0,0,0,0,0,0,4.07E-02,0.00E+00
0,0,0,0,0,0,0,0,4.97E-06,0.00E+00
0,1,1,0,1,1,1,1,1.06E-01,0.00E+00
0,1,0,0,0,0,0,0,2.26E-05,0.00E+00
1,1,1,0,1,1,1,1,9.07E-01,1.00E+00
1,1,1,0,0,1,1,1,6.46E-02,1.00E+00
1,1,1,0,1,1,1,1,6.30E-01,1.00E+00
1,0,1,0,1,1,1,1,1.09E-06,0.00E+00
1,1,1,0,0,1,1,1,4.15E-01,1.00E+00
1,1,1,0,0,1,1,1,9.18E-01,0.00E+00
0,1,0,0,0,0,0,0,2.89E-01,1.00E+00
0,1,1,0,1,1,1,1,7.28E-05,0.00E+00
1,1,1,0,1,1,1,1,6.16E-03,1.00E+00
1,1,1,0,1,1,1,1,1.42E-03,0.00E+00
0,0,0,0,0,0,0,0,2.99E-01,0.00E+00
0,0,0,0,0,0,0,0,8.05E-05,0.00E+00
0,1,1,0,0,1,1,1,1.00E+00,1.00E+00
1,1,0,0,1,0,0,0,9.31E-01,1.00E+00
1,1,1,0,1,1,1,1,9.81E-01,1.00E+00
0,0,1,0,1,1,1,1,4.53E-01,0.00E+00
0,1,0,0,0,0,0,1,1.00E+00,1.00E+00
1,1,1,0,0,1,1,1,4.82E-02,0.00E+00
1,1,1,0,0,1,1,1,1.83E-03,0.00E+00
0,1,0,0,0,0,0,0,2.66E-05,0.00E+00
1,1,1,0,1,1,0,1,3.15E-01,1.00E+00
1,1,1,0,1,1,1,1,1.37E-02,0.00E+00
0,0,0,0,0,0,0,0,1.92E-05,0.00E+00
0,0,0,0,0,0,0,0,4.74E-02,1.00E+00
0,0,0,0,0,0,0,0,9.00E-01,1.00E+00
1,1,1,0,1,1,1,1,8.57E-01,1.00E+00
1,0,0,0,0,1,0,1,5.70E-01,1.00E+00
1,1,1,0,1,1,1,1,9.03E-01,1.00E+00
0,0,0,0,0,0,0,0,7.27E-01,0.00E+00
1,1,1,0,1,1,1,1,3.78E-03,0.00E+00
0,0,0,0,0,0,0,0,2.56E-02,0.00E+00
1,0,0,0,0,0,0,1,3.39E-03,0.00E+00
1,1,0,0,0,1,0,1,4.40E-01,1.00E+00
0,1,1,0,1,1,1,1,2.31E-01,0.00E+00
1,1,1,0,1,1,1,1,9.96E-02,0.00E+00
1,1,0,0,1,0,0,0,7.81E-01,1.00E+00
1,1,1,0,1,1,1,1,2.21E-01,1.00E+00
1,1,0,0,1,0,1,0,2.53E-02,0.00E+00
0,0,1,0,1,1,1,1,9.22E-01,1.00E+00
1,1,1,0,1,1,1,1,3.72E-01,1.00E+00
0,0,0,0,0,0,0,0,7.32E-01,1.00E+00
0,0,0,0,0,0,0,0,4.10E-01,1.00E+00
0,0,0,0,0,0,0,0,6.38E-06,0.00E+00
0,0,0,0,0,0,0,0,8.49E-01,1.00E+00
0,0,0,0,0,0,0,0,3.23E-01,1.00E+00
1,0,0,0,1,1,1,0,9.64E-01,1.00E+00
0,0,0,0,0,0,0,0,8.48E-01,1.00E+00
0,0,0,0,0,0,0,0,9.42E-01,1.00E+00
0,1,1,0,1,1,1,1,9.09E-05,0.00E+00
0,0,0,0,0,0,0,0,5.02E-04,0.00E+00
1,1,1,0,1,1,1,1,1.16E-05,0.00E+00
1,0,1,0,1,1,0,1,6.42E-01,1.00E+00
1,1,1,0,0,1,0,1,1.00E+00,1.00E+00
0,0,0,0,0,0,0,0,9.89E-01,1.00E+00
1,1,0,0,0,0,0,0,9.36E-01,1.00E+00
1,1,1,0,1,1,1,1,7.14E-01,1.00E+00
0,1,1,0,1,1,1,1,1.14E-01,1.00E+00
0,1,0,0,0,1,0,1,4.47E-01,0.00E+00
0,0,0,0,0,0,0,0,8.09E-03,0.00E+00
0,0,0,0,0,0,0,0,7.36E-02,0.00E+00
1,1,0,0,0,1,1,0,2.61E-06,0.00E+00
0,0,0,0,0,1,0,0,9.35E-02,0.00E+00
0,0,0,0,0,0,0,0,9.37E-01,1.00E+00
1,1,1,0,0,1,0,1,8.42E-01,1.00E+00
1,1,1,0,1,1,1,1,2.92E-05,0.00E+00
1,0,0,0,0,0,0,0,8.07E-02,0.00E+00
1,1,1,0,0,1,1,1,9.56E-01,1.00E+00
0,0,0,0,0,0,0,0,9.45E-01,1.00E+00
0,0,0,0,1,0,0,0,1.19E-01,0.00E+00
0,1,1,0,1,1,0,1,1.00E+00,1.00E+00
1,1,1,0,1,1,1,1,3.22E-02,1.00E+00
1,0,0,0,0,0,0,0,3.01E-01,1.00E+00
1,1,1,0,1,1,1,1,2.88E-04,0.00E+00
1,0,0,0,1,1,0,0,8.38E-01,1.00E+00
0,0,0,0,0,0,0,0,7.37E-03,0.00E+00
0,0,0,0,0,0,0,0,9.00E-01,1.00E+00
1,1,1,0,0,1,0,1,7.20E-02,0.00E+00
1,1,1,0,1,1,1,1,2.43E-03,0.00E+00
1,1,1,0,1,1,1,1,8.77E-07,0.00E+00
1,1,1,0,1,1,1,1,9.26E-01,1.00E+00
0,0,0,0,0,0,0,0,1.83E-04,0.00E+00
1,1,1,0,1,1,1,1,6.73E-01,0.00E+00
0,1,1,0,1,1,1,1,1.68E-02,0.00E+00
0,0,0,0,0,0,0,0,2.04E-01,0.00E+00
0,0,1,0,1,1,1,1,1.15E-01,0.00E+00
1,0,1,0,1,1,0,1,7.87E-01,1.00E+00
0,1,0,1,1,1,0,0,4.46E-01,1.00E+00
1,1,0,0,0,1,0,1,1.66E-01,0.00E+00
0,0,0,0,1,0,0,0,1.29E-01,0.00E+00
0,0,0,0,0,0,0,0,1.90E-03,0.00E+00
0,1,1,0,1,1,1,1,6.11E-01,1.00E+00
1,1,1,0,1,1,1,1,9.22E-01,1.00E+00
1,1,0,0,0,1,0,1,5.20E-02,0.00E+00
1,1,0,0,0,0,0,0,7.59E-02,0.00E+00
0,0,0,0,0,0,0,0,9.40E-01,0.00E+00
0,0,0,0,0,0,0,0,5.35E-03,0.00E+00
1,1,1,0,1,1,0,1,9.99E-01,1.00E+00
0,1,1,0,1,1,0,1,8.71E-01,1.00E+00
0,0,0,0,0,0,0,0,9.59E-06,0.00E+00
1,1,1,0,1,1,1,1,2.33E-03,0.00E+00
1,1,1,0,1,1,1,1,5.86E-02,0.00E+00
0,1,0,0,0,0,0,0,2.47E-03,0.00E+00
1,0,1,0,1,0,1,0,6.36E-01,0.00E+00
0,0,0,0,0,0,0,0,7.93E-04,0.00E+00
0,0,0,0,0,0,0,0,3.70E-01,1.00E+00
0,0,0,0,0,0,0,0,9.73E-07,0.00E+00
0,0,0,0,0,0,0,0,9.84E-01,1.00E+00
0,1,0,0,0,1,0,1,2.41E-05,0.00E+00
0,0,0,0,0,0,0,0,9.37E-01,1.00E+00
0,1,0,0,0,0,0,0,1.00E+00,1.00E+00
0,0,0,0,0,0,0,0,3.39E-01,0.00E+00
0,1,0,0,0,0,0,0,3.34E-05,0.00E+00
1,1,1,0,1,1,1,1,1.30E-03,0.00E+00
1,1,1,0,0,0,0,1,1.98E-01,1.00E+00
0,0,0,0,0,0,0,0,7.62E-02,0.00E+00
1,1,1,0,1,1,1,1,8.78E-01,0.00E+00
0,1,1,0,1,1,1,1,1.18E-02,1.00E+00
1,1,1,0,1,1,1,1,9.13E-01,1.00E+00
1,1,1,0,1,1,1,1,1.08E-02,1.00E+00
1,0,0,0,0,0,0,0,3.45E-06,0.00E+00
1,0,0,0,0,0,0,0,7.74E-01,1.00E+00
1,1,1,0,1,1,1,1,9.25E-01,1.00E+00
0,0,0,0,0,0,0,0,8.10E-01,1.00E+00
1,1,1,0,0,1,1,1,2.59E-01,1.00E+00
1,1,1,0,1,1,1,1,2.29E-05,0.00E+00
0,0,0,0,0,0,0,0,1.86E-05,0.00E+00
1,0,0,0,0,0,0,0,9.43E-01,1.00E+00
1,1,0,0,1,0,0,0,3.63E-02,1.00E+00
1,1,1,0,1,1,1,1,9.67E-03,0.00E+00
1,1,1,0,1,1,1,1,4.01E-04,0.00E+00
0,0,0,0,0,0,0,0,1.17E-01,1.00E+00
1,1,0,0,1,1,1,1,5.25E-02,0.00E+00
0,0,0,0,0,0,0,0,9.77E-06,0.00E+00
1,1,0,0,1,1,0,1,3.64E-03,0.00E+00
1,1,1,0,0,1,0,1,8.09E-01,1.00E+00
1,1,1,0,1,1,1,1,3.00E-02,1.00E+00
1,1,1,0,0,1,1,1,8.67E-01,1.00E+00
0,0,0,0,0,0,0,0,2.30E-03,0.00E+00
1,1,1,0,1,1,1,1,9.57E-01,1.00E+00
0,0,0,0,0,0,0,0,6.43E-01,1.00E+00
0,0,1,0,1,1,1,1,2.48E-01,0.00E+00
0,0,0,0,0,0,0,0,3.49E-01,1.00E+00
1,1,1,0,1,1,1,1,2.08E-01,0.00E+00
1,1,1,0,1,1,1,1,8.68E-01,1.00E+00
0,0,0,0,0,0,0,0,4.45E-03,1.00E+00
0,0,0,0,0,0,0,0,9.78E-06,0.00E+00
0,0,0,0,0,0,0,0,2.22E-03,1.00E+00
1,0,1,0,1,1,0,1,3.56E-04,0.00E+00
0,0,0,0,0,0,0,0,1.58E-04,0.00E+00
0,1,1,0,1,1,1,1,8.22E-01,1.00E+00
0,0,0,0,0,0,0,0,6.37E-01,1.00E+00
1,1,1,0,1,1,1,1,7.74E-01,1.00E+00
0,0,0,0,0,0,0,0,8.90E-01,1.00E+00
0,0,0,0,0,0,0,0,9.36E-01,1.00E+00
0,0,0,0,0,0,0,0,9.68E-01,1.00E+00
0,0,0,0,0,0,0,0,7.66E-02,0.00E+00
1,1,1,0,1,1,1,1,1.06E-01,1.00E+00
1,0,1,0,0,1,0,1,3.77E-03,1.00E+00
0,1,1,0,1,1,1,1,8.59E-01,1.00E+00
1,1,0,0,0,1,0,1,1.97E-01,0.00E+00
0,1,0,0,1,0,0,0,8.88E-01,0.00E+00
1,1,0,0,0,0,0,1,9.96E-01,1.00E+00
1,0,1,0,1,1,1,1,2.14E-01,0.00E+00
1,1,1,0,1,1,1,1,7.87E-01,1.00E+00
0,0,0,0,0,0,0,0,4.56E-03,0.00E+00
1,0,1,0,1,1,1,1,4.15E-01,0.00E+00
0,0,1,0,1,0,1,1,9.23E-01,1.00E+00
0,0,1,0,1,1,0,1,6.89E-01,1.00E+00
0,0,0,0,0,0,0,0,3.71E-01,1.00E+00
0,0,0,0,0,0,0,0,9.08E-02,1.00E+00
0,0,0,0,1,0,0,0,2.50E-01,0.00E+00
1,0,0,0,0,0,0,0,8.16E-06,0.00E+00
1,1,1,0,0,1,0,1,1.43E-05,0.00E+00
1,1,0,0,1,1,0,1,9.33E-03,0.00E+00
1,1,1,0,1,1,1,1,2.13E-03,0.00E+00
1,0,1,0,1,0,1,1,2.19E-01,0.00E+00
1,1,1,0,1,1,1,1,7.35E-01,1.00E+00
1,1,1,0,1,1,1,1,1.95E-02,0.00E+00
0,0,0,0,0,0,0,0,2.26E-04,0.00E+00
1,1,1,0,1,1,1,1,8.24E-01,1.00E+00
0,0,1,0,1,0,1,1,9.93E-01,1.00E+00
0,0,0,0,0,0,0,0,8.04E-01,1.00E+00
0,0,0,0,0,0,0,0,9.09E-01,1.00E+00
0,0,0,0,0,0,0,0,2.64E-01,1.00E+00
1,1,1,0,1,1,0,1,7.77E-01,1.00E+00
0,0,0,0,0,0,0,0,6.08E-01,1.00E+00
1,0,1,0,1,1,1,1,8.86E-01,1.00E+00
0,1,0,0,0,1,0,0,8.87E-01,1.00E+00
0,0,0,0,0,0,0,0,8.65E-01,1.00E+00
1,1,1,0,1,1,1,1,3.70E-01,0.00E+00
0,0,0,0,0,0,0,0,5.46E-06,0.00E+00
0,0,0,0,0,0,0,0,1.53E-02,1.00E+00
0,0,0,0,0,0,0,0,4.02E-01,0.00E+00
0,0,1,0,1,1,1,1,8.95E-01,1.00E+00
1,1,1,0,1,1,1,1,3.59E-01,1.00E+00
0,0,0,0,0,0,0,0,7.27E-04,0.00E+00
1,1,1,0,1,1,1,1,1.88E-01,0.00E+00
0,0,0,0,0,0,0,0,1.74E-01,0.00E+00
1,0,0,0,1,0,1,0,6.05E-02,1.00E+00
0,0,0,0,0,0,0,0,1.24E-05,0.00E+00
0,1,0,0,0,0,0,0,3.82E-03,0.00E+00
1,1,1,0,1,1,1,1,1.78E-05,0.00E+00
0,0,0,0,0,0,0,0,9.18E-01,1.00E+00
0,0,0,0,0,0,0,0,6.07E-03,0.00E+00
0,0,0,0,0,0,0,0,6.51E-01,1.00E+00
0,0,0,0,0,0,0,0,9.14E-01,1.00E+00
1,0,1,0,1,1,1,1,9.85E-01,1.00E+00
0,0,0,0,0,0,0,0,9.34E-01,1.00E+00
0,1,1,0,0,1,0,1,3.80E-01,0.00E+00
1,1,1,0,1,1,1,1,3.39E-02,0.00E+00
1,1,1,0,1,1,1,1,1.07E-01,0.00E+00
0,0,0,0,0,0,0,0,1.70E-01,0.00E+00
0,0,0,0,0,0,0,0,3.52E-04,0.00E+00
1,1,1,0,0,1,0,1,5.91E-01,1.00E+00
1,1,1,0,1,1,1,1,1.00E+00,1.00E+00
0,0,0,0,0,0,0,0,9.14E-01,1.00E+00
1,1,1,0,1,0,1,0,5.94E-05,0.00E+00
1,1,1,0,1,1,1,1,6.94E-01,0.00E+00
0,0,0,0,0,0,0,0,7.99E-01,1.00E+00
0,0,0,0,0,0,0,0,8.47E-02,0.00E+00
1,1,0,0,0,1,0,1,8.57E-01,1.00E+00
0,1,0,0,0,0,0,0,2.17E-02,1.00E+00
1,1,1,0,1,1,1,1,9.62E-07,0.00E+00
0,0,0,0,0,0,0,0,3.80E-01,0.00E+00
0,0,0,0,1,0,0,0,4.19E-03,0.00E+00
0,0,0,0,0,0,0,0,7.43E-01,1.00E+00
1,1,1,0,1,1,1,1,8.98E-01,1.00E+00
1,1,1,0,1,1,1,1,1.72E-03,0.00E+00
0,0,1,0,0,0,0,1,8.46E-01,0.00E+00
1,0,1,0,1,1,1,1,9.65E-04,1.00E+00
0,0,0,0,0,0,0,0,9.76E-06,0.00E+00
0,0,0,0,0,0,0,0,2.29E-05,0.00E+00
0,0,0,0,0,0,0,0,1.45E-01,1.00E+00
0,0,0,0,0,1,0,0,8.87E-01,1.00E+00
1,1,1,0,1,1,1,1,3.47E-01,0.00E+00
1,1,1,0,1,1,1,1,9.40E-01,1.00E+00
0,0,0,0,0,0,0,0,2.32E-01,0.00E+00
1,1,1,0,1,0,1,1,7.37E-01,1.00E+00
0,0,0,0,0,0,0,0,7.13E-07,0.00E+00
0,1,0,0,0,0,0,0,1.78E-03,0.00E+00
0,0,0,0,0,0,0,0,9.36E-01,1.00E+00
1,1,1,0,0,0,0,1,2.65E-01,1.00E+00
1,1,1,0,1,1,1,1,1.41E-04,0.00E+00
1,1,1,0,1,1,0,1,4.80E-01,1.00E+00
1,0,0,0,0,0,0,0,1.20E-01,0.00E+00
0,0,0,0,0,0,0,0,1.25E-05,0.00E+00
1,1,1,0,1,1,1,1,9.94E-01,1.00E+00
0,1,1,0,1,1,1,1,9.99E-01,1.00E+00
1,1,0,0,0,1,0,0,7.71E-01,1.00E+00
0,0,0,0,0,0,0,0,8.49E-04,0.00E+00
0,0,0,0,0,0,0,0,9.37E-01,1.00E+00
1,0,1,0,1,1,1,1,8.61E-01,1.00E+00
0,0,0,0,0,0,0,0,8.30E-01,1.00E+00
1,1,1,0,1,1,1,1,6.62E-01,1.00E+00
0,1,1,0,1,1,0,1,9.51E-01,1.00E+00
1,1,1,0,1,1,1,1,9.03E-01,1.00E+00
1,1,1,0,1,1,0,1,1.43E-04,0.00E+00
1,1,1,0,0,1,1,1,9.36E-01,1.00E+00
1,1,1,0,1,1,1,1,9.24E-01,1.00E+00
1,1,1,0,1,1,1,1,8.11E-01,0.00E+00
1,1,0,0,0,1,0,1,8.30E-04,0.00E+00
0,0,0,0,0,0,0,0,4.56E-03,0.00E+00
1,1,0,0,0,0,0,0,9.52E-01,1.00E+00
1,0,1,0,1,1,1,1,4.14E-01,0.00E+00
0,0,0,0,0,0,0,0,6.69E-05,0.00E+00
0,0,1,0,1,1,1,1,4.17E-02,0.00E+00
0,0,0,0,0,0,0,0,3.66E-06,0.00E+00
0,0,0,0,0,0,0,0,3.07E-02,0.00E+00
0,0,0,0,0,0,0,0,2.95E-01,1.00E+00
1,1,1,0,0,1,0,1,9.78E-01,1.00E+00
